Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Upper 95% CI,CKD_prevalence,CKD_Upper 95% CI,Native American/American Indian-alone pop,Heart disease_prevalence
0.6849315068493151,0.6818181818181818,0.5636363636363638,0.5528455284552845,0.7307692307692306,0.7407407407407406,0.1258609893550407,0.7051282051282053
0.3561643835616439,0.3749999999999999,0.31818181818181823,0.3170731707317073,0.42307692307692313,0.40740740740740733,0.3544145272385723,0.35897435897435903
0.36986301369863017,0.38636363636363624,0.290909090909091,0.2926829268292683,0.3846153846153846,0.37037037037037035,0.022542266750156543,0.3846153846153846
0.09589041095890416,0.13636363636363635,0.2272727272727273,0.2439024390243903,0.1153846153846152,0.11111111111111116,0.11772072636192861,0.10256410256410253
0.09589041095890416,0.07954545454545459,0.17272727272727273,0.15447154471544716,0.15384615384615374,0.11111111111111116,0.4777708202880401,0.07692307692307698
0.7671232876712328,0.7840909090909091,0.7090909090909091,0.7073170731707319,0.8076923076923077,0.8148148148148148,0.059486537257357544,0.7948717948717949
0.8082191780821917,0.8295454545454545,0.6636363636363637,0.6829268292682928,0.7692307692307689,0.8148148148148148,0.2742642454602379,0.8461538461538463
0.3287671232876713,0.3409090909090907,0.26363636363636367,0.2601626016260162,0.34615384615384603,0.33333333333333337,0.026299311208515967,0.3333333333333335
0.6301369863013699,0.6363636363636364,0.5272727272727273,0.5284552845528456,0.6923076923076921,0.7037037037037038,0.14527238572323106,0.6410256410256412
0.3013698630136987,0.3181818181818181,0.25454545454545463,0.26829268292682923,0.34615384615384603,0.33333333333333337,0.5929868503443957,0.3076923076923078
0.4383561643835616,0.443181818181818,0.509090909090909,0.5203252032520327,0.3846153846153846,0.40740740740740733,0.13087038196618658,0.4487179487179489
0.5205479452054795,0.5568181818181818,0.3363636363636364,0.34146341463414626,0.5384615384615383,0.5555555555555555,0.14402003757044457,0.5512820512820513
0.6849315068493151,0.6363636363636364,0.6454545454545454,0.6097560975609757,0.8846153846153846,0.8518518518518517,0.10018785222291797,0.6666666666666667
0.36986301369863017,0.40909090909090906,0.4,0.42276422764227645,0.3846153846153846,0.40740740740740733,0.12523481527864747,0.3974358974358976
0.6438356164383563,0.6704545454545453,0.5636363636363638,0.5772357723577237,0.6153846153846154,0.6666666666666666,0.021916092673763304,0.6666666666666667
0.8082191780821917,0.8181818181818182,0.5545454545454546,0.5528455284552845,0.8076923076923077,0.8148148148148148,0.01878522229179712,0.8333333333333335
0.3013698630136987,0.3295454545454545,0.2272727272727273,0.2439024390243903,0.34615384615384603,0.37037037037037035,0.13650594865372573,0.3076923076923078
0.7123287671232876,0.7159090909090909,0.5363636363636365,0.5447154471544715,0.7307692307692306,0.7407407407407406,0.05322479649342517,0.7307692307692308
0.5342465753424657,0.5227272727272728,0.509090909090909,0.5040650406504066,0.6153846153846154,0.6296296296296297,0.10206637445209768,0.5384615384615385
0.3013698630136987,0.3409090909090907,0.18181818181818188,0.18699186991869915,0.3846153846153846,0.37037037037037035,0.04884157795867251,0.3205128205128206
0.28767123287671237,0.2727272727272726,0.290909090909091,0.2764227642276423,0.3846153846153846,0.37037037037037035,0.13400125234815277,0.28205128205128216
0.6438356164383563,0.6590909090909091,0.4545454545454546,0.4634146341463415,0.6538461538461535,0.6666666666666666,0.1859737006887915,0.6666666666666667
0.5890410958904109,0.5909090909090909,0.44545454545454555,0.4471544715447155,0.5769230769230769,0.5925925925925927,0.08015028177833437,0.6025641025641026
0.1095890410958904,0.10227272727272718,0.13636363636363635,0.13821138211382106,0.15384615384615374,0.11111111111111116,0.5585472761427677,0.10256410256410253
0.46575342465753433,0.4772727272727272,0.5,0.5040650406504066,0.46153846153846123,0.44444444444444453,0.04884157795867251,0.47435897435897445
0.6164383561643836,0.6022727272727272,0.6181818181818183,0.6097560975609757,0.5769230769230769,0.5925925925925927,0.040075140889167186,0.6153846153846154
0.3013698630136987,0.3181818181818181,0.3727272727272727,0.3821138211382114,0.3846153846153846,0.37037037037037035,0.49906073888541014,0.3205128205128206
0.19178082191780832,0.20454545454545447,0.15454545454545454,0.15447154471544716,0.1923076923076923,0.18518518518518523,0.3262366938008766,0.1923076923076924
0.46575342465753433,0.4999999999999999,0.34545454545454557,0.35772357723577236,0.46153846153846123,0.4814814814814815,0.013149655604257984,0.4871794871794872
0.5890410958904109,0.6022727272727272,0.7000000000000001,0.6991869918699187,0.4999999999999998,0.5185185185185187,0.10206637445209768,0.6025641025641026
0.2465753424657534,0.26136363636363635,0.40909090909090917,0.4146341463414634,0.26923076923076894,0.2962962962962964,0.17720726361928615,0.2564102564102565
0.6027397260273972,0.6136363636363634,0.4363636363636365,0.4308943089430894,0.6153846153846154,0.6296296296296297,0.01878522229179712,0.6153846153846154
0.46575342465753433,0.443181818181818,0.3363636363636364,0.3170731707317073,0.5769230769230769,0.5555555555555555,0.10206637445209768,0.4615384615384617
0.6986301369863015,0.6818181818181818,0.5909090909090909,0.5934959349593496,0.6153846153846154,0.5925925925925927,0.14652473387601753,0.7051282051282053
0.3835616438356164,0.4204545454545455,0.3272727272727274,0.34146341463414626,0.3846153846153846,0.40740740740740733,0.04633688165309956,0.3974358974358976
0.31506849315068497,0.2954545454545454,0.40909090909090917,0.3983739837398375,0.3846153846153846,0.37037037037037035,0.41327489041953663,0.3076923076923078
0.47945205479452047,0.5454545454545453,0.20909090909090922,0.2276422764227642,0.4999999999999998,0.5555555555555555,0.011271133375078271,0.512820512820513
0.9178082191780821,0.943181818181818,0.8181818181818182,0.8292682926829269,0.8461538461538458,0.888888888888889,0.0958046336881653,0.9487179487179489
0.47945205479452047,0.5113636363636361,0.4,0.3983739837398375,0.5384615384615383,0.5555555555555555,0.055103318722604884,0.5
0.21917808219178092,0.25,0.25454545454545463,0.26829268292682923,0.23076923076923084,0.2222222222222222,0.34189104571070755,0.23076923076923084
0.9178082191780821,0.9318181818181818,0.9181818181818181,0.9186991869918699,0.8461538461538458,0.888888888888889,0.07138384470882905,0.9487179487179489
0.19178082191780832,0.19318181818181812,0.18181818181818188,0.1788617886178861,0.3076923076923075,0.2962962962962964,0.3206011271133375,0.1923076923076924
0.6027397260273972,0.6249999999999999,0.44545454545454555,0.4471544715447155,0.6538461538461535,0.6666666666666666,0.051346274264245456,0.6153846153846154
0.26027397260273977,0.28409090909090906,0.17272727272727273,0.17073170731707316,0.3076923076923075,0.33333333333333337,0.0857858484658735,0.28205128205128216
0.47945205479452047,0.43181818181818177,0.4727272727272729,0.4471544715447155,0.6153846153846154,0.5925925925925927,0.09893550407013149,0.4615384615384617
0.4246575342465755,0.40909090909090906,0.4545454545454546,0.4471544715447155,0.42307692307692313,0.44444444444444453,0.20413274890419536,0.42307692307692313
0.6712328767123288,0.6931818181818182,0.8363636363636365,0.8373983739837398,0.5384615384615383,0.5555555555555555,0.030682529743268627,0.6923076923076923
0.5342465753424657,0.5795454545454545,0.290909090909091,0.3008130081300812,0.5384615384615383,0.5555555555555555,0.008766437069505322,0.5641025641025641
0.4246575342465755,0.443181818181818,0.3545454545454546,0.3495934959349593,0.46153846153846123,0.44444444444444453,0.8741390106449592,0.4358974358974359
0.6164383561643836,0.5909090909090909,0.6363636363636364,0.6178861788617886,0.7307692307692306,0.7407407407407406,0.011271133375078271,0.6153846153846154
